名前,地区,年齢,合計金額,百円単位の四捨五入
タワ モソネ,埼玉県,87,74600,74600.0
ニキタ ヌム,奈良県,73,26462,26500.0
シサホ クカテフ,東京都,65,57089,57100.0
イホチハ シホナミ,石川県,55,30548,30500.0
ソアト クユ,福岡県,55,28224,28200.0
スンケフ シヲワメ,福岡県,81,27401,27400.0
ソキ ヒシ,山形県,88,20580,20600.0
ウソ トスワス,熊本県,45,77407,77400.0
ヘチ メアヘア,徳島県,57,35831,35800.0
チノス モヒハヒ,秋田県,69,50557,50600.0
テヲム ノニチク,福井県,79,37000,37000.0
スイ ケワ,千葉県,54,47024,47000.0
ネミタ ミンニイ,福島県,85,49734,49700.0
キタフシ タマ,宮崎県,88,22300,22300.0
カオ ニニ,岐阜県,25,36776,36800.0
エサ ミコ,岡山県,95,114224,114200.0
ヤカテケ ニワ,富山県,58,37500,37500.0
ヲヲネソ キオネ,徳島県,73,49843,49800.0
ネンキ ツオオマ,大阪府,20,72671,72700.0
ヒマワ エフニ,岩手県,78,28000,28000.0
マツトシ ヒハホ,長崎県,69,33000,33000.0
ヤモヌ ニミ,石川県,91,79860,79900.0
ツサ メサタタ,大阪府,89,29400,29400.0
ソケハヒ タヘス,愛知県,56,34600,34600.0
ケシキス ケムワン,三重県,85,87588,87600.0
カク ニナミ,栃木県,38,38506,38500.0
テイヨサ メス,山梨県,81,57000,57000.0
イミワ タヨア,青森県,79,26200,26200.0
クヨナネ アヌオ,愛媛県,43,29900,29900.0
チニメ オソスネ,北海道,76,45300,45300.0
ムヒ ノホハ,愛媛県,61,56500,56500.0
ンシ ネクン,千葉県,29,56300,56300.0
ワワ ミツモノ,青森県,65,28900,28900.0
ナエ エヲケ,青森県,67,57468,57500.0
ケヒ スモクユ,埼玉県,68,108300,108300.0
ニマハ ヒオ,秋田県,46,83000,83000.0
キツアフ マオヤ,千葉県,92,24800,24800.0
ヘセヤヨ ソネ,新潟県,55,84500,84500.0
ヌツタ ユノマ,滋賀県,44,25318,25300.0
メチメ セフ,和歌山県,23,49934,49900.0
ヒトアユ ミユ,島根県,96,132200,132200.0
クイ テモウ,長崎県,97,27000,27000.0
ミタオツ チセクワ,鳥取県,88,35700,35700.0
ツヒ ノイモ,新潟県,46,20300,20300.0
マミサニ ソサ,京都府,99,27300,27300.0
シクユキ ムワヤ,富山県,24,56900,56900.0
トキフケ ヌヌ,群馬県,82,61242,61200.0
クネミ スハタ,東京都,76,44822,44800.0
ノセネマ キコ,兵庫県,24,40900,40900.0
ワユメヒ ヘセ,宮城県,52,44156,44200.0
セミヒヘ スソハヒ,奈良県,24,46184,46200.0
ソツトカ スニ,山梨県,88,46800,46800.0
ムモ ヨキソケ,山口県,19,59214,59200.0
ヲフセ ウケソヲ,長野県,31,46000,46000.0
ソン テママ,大分県,28,28900,28900.0
ヲオサヨ オスチ,奈良県,61,52900,52900.0
ネテケシ ツヘヤシ,秋田県,93,54400,54400.0
ソチ ユニケネ,北海道,21,23800,23800.0
ツソユ マサヨ,宮崎県,31,83100,83100.0
クヲ ヌケ,和歌山県,79,42200,42200.0
サケミヘ ンク,長野県,86,36600,36600.0
シタツヨ スホワ,大分県,95,62800,62800.0
ヨスムミ チカスク,千葉県,16,29423,29400.0
ワア キホ,鹿児島県,79,33303,33300.0
タチコ ワネシ,新潟県,21,86800,86800.0
タユヌチ ヘアクカ,岩手県,65,27500,27500.0
クス ノモノ,兵庫県,19,22800,22800.0
ヘムスヒ ナモケハ,福岡県,94,34100,34100.0
ナウナ ワユヲセ,神奈川県,82,40700,40700.0
サコ ヤシ,鹿児島県,24,74900,74900.0
ヨク フメウト,石川県,65,61200,61200.0
ホソ ホシヲセ,香川県,79,74200,74200.0
ホケヌヲ ノア,兵庫県,92,25307,25300.0
モシヘキ キンヌ,宮崎県,38,30862,30900.0
クン ヲホノ,滋賀県,69,22100,22100.0
ウノ ンヌヘ,福井県,80,33300,33300.0
ワキヨ ヨユソ,群馬県,96,33400,33400.0
ヨト スヒテ,熊本県,58,44800,44800.0
ネスケテ オモ,埼玉県,83,63400,63400.0
ヨノカ ナヌ,兵庫県,67,29900,29900.0
ツマヘ ケマ,京都府,44,35700,35700.0
ヘサ メマムン,大分県,37,57100,57100.0
ンウコ サミメ,青森県,28,46395,46400.0
オワタス オウ,京都府,91,59000,59000.0
コホムヌ キムノコ,新潟県,80,59600,59600.0
シエイセ ヘケテネ,高知県,60,96390,96400.0
フウコメ コテクコ,山形県,70,67668,67700.0
テキク ワヒネヘ,石川県,34,128700,128700.0
セマ ヘイツ,宮崎県,77,22700,22700.0
シノハ エオワチ,高知県,17,45100,45100.0
ホハケア メナ,愛媛県,36,41300,41300.0
モオヲ ヌチ,青森県,26,28300,28300.0
サニヒ ヲマウ,福岡県,95,49800,49800.0
ントキホ ナネハ,神奈川県,28,66300,66300.0
シコヨサ サメ,大阪府,57,66000,66000.0
ワヨヲ ユムサキ,神奈川県,63,44800,44800.0
ヲミカア スセホ,青森県,44,63300,63300.0
ヲト ユス,神奈川県,56,30600,30600.0
オン エネ,大分県,26,88800,88800.0
ノアキ ネヘオ,兵庫県,49,35400,35400.0
オツ ユソモ,岩手県,67,90587,90600.0
コヘ モヤク,福島県,59,71200,71200.0
ニハオキ ネヨタモ,広島県,93,29708,29700.0
ホニア メメアオ,広島県,38,30000,30000.0
ハニ ノホモ,岩手県,47,56261,56300.0
ノサユ サニ,京都府,30,46200,46200.0
ユト ヒヲセヌ,高知県,23,57800,57800.0
ホンセ エハヒヲ,広島県,26,34978,35000.0
エナヨマ ナヲ,京都府,88,20500,20500.0
フカム メヌシイ,広島県,70,81000,81000.0
ケネ ヘカ,秋田県,94,62700,62700.0
ツヒソト クスヘヲ,愛知県,19,35800,35800.0
ミソ ニヨフテ,山梨県,57,69762,69800.0
メソモミ ネシ,高知県,64,71100,71100.0
オウヌ ミサ,神奈川県,96,34800,34800.0
イタワン マヲケセ,宮城県,81,31100,31100.0
セノンヲ ハセ,和歌山県,54,56300,56300.0
チヲ ナセセ,東京都,82,57600,57600.0
ツイセ サシアテ,長野県,33,75500,75500.0
ウウタク ツネナノ,三重県,17,30200,30200.0
ヒツニヨ ママチク,青森県,96,59168,59200.0
クアセ ユコク,佐賀県,48,21362,21400.0
メア フニウア,東京都,70,43973,44000.0
トサ ナケ,三重県,92,36736,36700.0
ネヤ ハソカマ,静岡県,70,62221,62200.0
フメワヲ カヘユ,静岡県,34,39127,39100.0
ホケモ イトミ,沖縄県,98,54784,54800.0
ヤノケ タサイ,大分県,64,21500,21500.0
フヲ テモユタ,奈良県,53,53700,53700.0
ツタテノ ユソナト,徳島県,47,59603,59600.0
モヨンフ セヌネ,大分県,17,34200,34200.0
クミユ ウメ,広島県,52,58671,58700.0
キム ワチヨ,山形県,75,30470,30500.0
ワヘウ ソヒ,福島県,87,24927,24900.0
エワ エカ,大分県,67,31100,31100.0
トモフメ イシホ,青森県,86,37000,37000.0
ワワ ヨヨ,静岡県,34,48200,48200.0
ムモウ セノ,富山県,23,28100,28100.0
メハ タミメ,奈良県,97,61964,62000.0
メヌ トツ,福井県,44,38520,38500.0
ヨヨ サエ,香川県,43,30568,30600.0
ハコ サカコム,京都府,55,54721,54700.0
ヌノコ ツツタ,山口県,43,26800,26800.0
ソトニマ モコ,富山県,30,29100,29100.0
マチク ヤエ,長野県,31,74814,74800.0
モヌト モノヒ,宮崎県,28,87541,87500.0
ケネ スモトユ,群馬県,91,84400,84400.0
ハノ ネサナコ,福島県,99,33700,33700.0
ユヤネ ウセオカ,沖縄県,60,34656,34700.0
ツホ ニヘ,栃木県,25,55300,55300.0
タヌヌ フヌ,愛知県,54,37600,37600.0
ミシ ワヲ,大分県,66,73058,73100.0
ヨニン ネセキ,三重県,86,32872,32900.0
ハキソ ニニオ,徳島県,16,33100,33100.0
ナキヲ ネエオ,福島県,21,29500,29500.0
サナミオ マホ,山形県,76,43700,43700.0
ワフスハ ニヘ,山形県,79,42977,43000.0
ツオ チネソ,宮崎県,29,46740,46700.0
テウシヘ コツソシ,滋賀県,16,60595,60600.0
ミヘカ スヒマタ,福井県,66,22000,22000.0
ワチキネ ナマミ,愛媛県,47,79971,80000.0
ヲミノ ネヤ,広島県,63,104800,104800.0
ツト ナニマ,島根県,97,81321,81300.0
トツ ユタ,神奈川県,37,47700,47700.0
マミン モセヒ,静岡県,72,42100,42100.0
セト ソイン,福岡県,41,31195,31200.0
フンユ ツノ,千葉県,37,44061,44100.0
ナシ ホスイモ,香川県,24,133300,133300.0
ヤネノ ネハ,岐阜県,40,58400,58400.0
エニカ ネソ,山口県,47,31800,31800.0
ソシシ ヨキア,神奈川県,99,37200,37200.0
ケテヒ メミモワ,京都府,98,103900,103900.0
ニサ ミソウエ,香川県,96,20905,20900.0
テア ハタハ,富山県,64,68000,68000.0
ユナカヤ ツヒ,新潟県,30,35900,35900.0
ヒト クセミ,三重県,22,49700,49700.0
ンヲオ ミウ,栃木県,38,46200,46200.0
ネオマ ケサユヲ,新潟県,89,53827,53800.0
トユキマ チアト,長野県,94,36800,36800.0
オクワ ムノ,滋賀県,96,24970,25000.0
タコ ホワ,長崎県,50,22085,22100.0
ヌフノノ ツミ,熊本県,79,42200,42200.0
ヒフ サタセ,神奈川県,70,20700,20700.0
ムムン フテス,沖縄県,92,39222,39200.0
メケシ オヌ,石川県,41,22100,22100.0
タキシテ モフ,大阪府,32,22200,22200.0
ミワオ ネカシ,兵庫県,65,51800,51800.0
セヘ ユヘタ,高知県,97,83000,83000.0
コエコ ユコマ,滋賀県,98,68400,68400.0
モヌウセ エタ,熊本県,56,21500,21500.0
サツイ フヒケヨ,静岡県,86,46251,46300.0
フユテ ナオキチ,青森県,53,63900,63900.0
ソアマウ ユカ,千葉県,73,45500,45500.0
サヒ エワヘ,長崎県,53,26900,26900.0
セニケ タニカ,鹿児島県,49,51500,51500.0
ツケ アヘイツ,愛媛県,24,29200,29200.0
ヘトム ムキウ,徳島県,45,40300,40300.0
サケサウ ユキンン,福井県,46,77037,77000.0
ヲサコ ンノコ,群馬県,31,25700,25700.0
イコウ コナカソ,京都府,21,20200,20200.0
ミヤイヤ ハタ,高知県,66,75800,75800.0
ミソコ サホ,兵庫県,15,38700,38700.0
イシ ハメエマ,岐阜県,98,30260,30300.0
マユ アエオメ,佐賀県,86,40100,40100.0
ナノツソ ンン,栃木県,54,46300,46300.0
コネチ ホヒネ,鳥取県,93,30300,30300.0
ワム ヘシ,愛知県,80,25385,25400.0
テマ シコ,東京都,74,25400,25400.0
ナニオ エツア,山梨県,91,20100,20100.0
ンソケン カヤユ,鹿児島県,29,68800,68800.0
クカヨ コトケヤ,福岡県,55,56311,56300.0
ワマ シクハマ,高知県,32,84000,84000.0
キヒ マカサハ,愛知県,44,41270,41300.0
ヤミ ソフ,広島県,65,63700,63700.0
エワ エキ,三重県,42,24000,24000.0
ソンメ ヲフハ,岩手県,85,21900,21900.0
ヤノマ ケヤホ,長野県,29,43718,43700.0
ナヤ イヨミ,岡山県,41,46141,46100.0
ミミ ツト,鹿児島県,22,49900,49900.0
ツホ ミミ,奈良県,81,36600,36600.0
ヲスノ フアハ,新潟県,28,51028,51000.0
メナテ ホモ,香川県,67,30700,30700.0
アヘ オワマソ,長崎県,54,22000,22000.0
エサカヒ チノ,福島県,29,29759,29800.0
マネテネ ムウン,愛媛県,49,55400,55400.0
テシコウ アヨ,徳島県,57,28193,28200.0
タイヤツ ハクフ,群馬県,22,39500,39500.0
ヲユワ サユオソ,神奈川県,23,23400,23400.0
ムミ モキ,青森県,25,42955,43000.0
ツヨ イサウテ,兵庫県,62,35858,35900.0
キウトス ワヤイマ,茨城県,21,83600,83600.0
カウワ ヒセミ,長野県,67,62200,62200.0
ホツ ケソスウ,島根県,25,29397,29400.0
サクナ フヌ,福島県,80,27300,27300.0
ツサン ネトムニ,島根県,80,29300,29300.0
ムヒ ハケモチ,岡山県,64,27000,27000.0
ミア モウクネ,埼玉県,98,22300,22300.0
モネソ カエ,栃木県,32,35300,35300.0
ヘチキヌ ンタカ,和歌山県,44,46000,46000.0
ヌソ タセウ,長崎県,83,55474,55500.0
エソ セトセ,千葉県,25,39500,39500.0
ムエ シスアム,埼玉県,71,78000,78000.0
ノヲ ツコ,宮崎県,77,72276,72300.0
テヌオ メカ,沖縄県,22,57600,57600.0
フミニ ヲメヲヘ,徳島県,53,62400,62400.0
ナヌ キワケ,和歌山県,26,49076,49100.0
ナマクフ ニソンホ,熊本県,77,47800,47800.0
ワエ ネトケ,香川県,19,28200,28200.0
モウヒカ ユヨエト,京都府,37,80300,80300.0
シヲワフ メワ,北海道,44,27600,27600.0
ケアモマ ムマ,岡山県,38,23865,23900.0
サユ ツオイク,北海道,45,64419,64400.0
テホヌ コヘウ,千葉県,69,29800,29800.0
ウマト キウハ,北海道,22,26193,26200.0
スクホ チキ,京都府,15,51400,51400.0
クニ ユエナマ,栃木県,87,68400,68400.0
ヲネエ ケユタ,福島県,87,28800,28800.0
カヒ ヒナソテ,栃木県,36,45796,45800.0
チフニ ヘア,兵庫県,96,29900,29900.0
オソカキ ノウイウ,鳥取県,63,46600,46600.0
シケヲメ クミ,熊本県,82,63100,63100.0
テサ タコサ,徳島県,51,23200,23200.0
エヌワコ ツツ,茨城県,42,49827,49800.0
エヌナメ チオフ,新潟県,48,28700,28700.0
ワヨツ ニヘ,鹿児島県,49,24400,24400.0
ケセミ キクサ,青森県,45,93400,93400.0
ウムンフ ヒヘ,奈良県,18,29038,29000.0
クイウカ ハメシ,滋賀県,99,67000,67000.0
ムタマ オノシオ,徳島県,95,28400,28400.0
カヤサ ミニツ,茨城県,70,72066,72100.0
ツチマモ ウイ,青森県,89,38300,38300.0
エヤ イツセ,岐阜県,26,64300,64300.0
コミキ フマ,岐阜県,71,43259,43300.0
カヌア ヘモマ,秋田県,79,49600,49600.0
ノホ ヘメエノ,香川県,27,53874,53900.0
ナハ ニアマネ,青森県,20,43000,43000.0
ネアメ ヲメツヨ,石川県,85,25966,26000.0
メハヘム ウセツ,佐賀県,41,30303,30300.0
キシ ツスオ,滋賀県,30,119121,119100.0
カコヨ シヌ,石川県,46,52300,52300.0
モヨ ンスケヨ,東京都,23,20100,20100.0
ナエハ ヌサマチ,愛媛県,41,35800,35800.0
モネ ミトヤセ,千葉県,49,57927,57900.0
コヌ ヤクエ,北海道,44,23500,23500.0
メツ マカニヤ,愛媛県,97,59432,59400.0
メミケユ タケ,広島県,72,51700,51700.0
タニ キトナツ,岐阜県,86,68647,68600.0
フマノ ノハエ,宮崎県,40,28400,28400.0
ナヨサ ツコ,香川県,33,52991,53000.0
ンタ ヤヲ,岩手県,52,53000,53000.0
ヤオホソ フカエキ,山形県,30,59863,59900.0
ムケユ ソフ,福島県,38,36800,36800.0
オサヲ メホニユ,愛知県,69,69700,69700.0
メチナ ツナ,長野県,41,35619,35600.0
メウスン カメモ,沖縄県,62,44900,44900.0
ママテ テカ,佐賀県,80,29000,29000.0
ケヌ タマハ,富山県,55,20800,20800.0
セヒンケ セケハ,埼玉県,52,44235,44200.0
ウフキ ハスワ,沖縄県,59,58700,58700.0
オユ カヌ,宮崎県,59,34600,34600.0
テヨハワ ムセワヨ,鹿児島県,88,60753,60800.0
コキムユ イオ,青森県,31,63391,63400.0
クス ヤツサ,岐阜県,33,51800,51800.0
アアケ ホミ,山形県,63,29677,29700.0
スク カクテ,福井県,50,45798,45800.0
ナフ ワオ,栃木県,46,36900,36900.0
シタシ ワワア,埼玉県,32,55051,55100.0
テムウ ミムカ,岡山県,46,24866,24900.0
ホオ ヌソセシ,茨城県,83,37066,37100.0
アオモメ ユミク,新潟県,83,49800,49800.0
ハアチニ チケ,大阪府,16,39200,39200.0
タクマノ サシ,愛媛県,95,67700,67700.0
タヒ サセマス,富山県,46,28500,28500.0
ケヘフト イイ,秋田県,95,37989,38000.0
コノンシ セキ,福島県,36,74000,74000.0
ホヒナヲ ニスア,長野県,63,55700,55700.0
シア ヨンマキ,群馬県,21,44700,44700.0
ニス ミア,富山県,95,59733,59700.0
ンヌネ ヨフニモ,石川県,75,53700,53700.0
ムヨコク チケトキ,兵庫県,60,49000,49000.0
テソシ ワメヨ,東京都,95,49204,49200.0
ハヲニ コケ,福井県,21,32700,32700.0
ツヌステ コフチソ,和歌山県,80,24776,24800.0
キコカ ニカ,石川県,83,23100,23100.0
ワタ タホネハ,埼玉県,24,26300,26300.0
スエ サヒチ,千葉県,84,29945,29900.0
メアハ ウツ,佐賀県,83,97300,97300.0
タタハ マケ,千葉県,82,49200,49200.0
ヒシツ モチキ,山梨県,54,23848,23800.0
オオア エメヲ,奈良県,53,24280,24300.0
ハセ トワチト,岡山県,29,47100,47100.0
シタク ソメホチ,和歌山県,60,40900,40900.0
スイ ンタヒ,和歌山県,21,67500,67500.0
ネソ フタヲ,三重県,94,28066,28100.0
チツヨウ タノマウ,福島県,73,37114,37100.0
テマ ハケ,滋賀県,55,34842,34800.0
カヘハシ テサモ,広島県,53,36400,36400.0
チテニ タウイウ,兵庫県,33,51900,51900.0
ナホ ツワテウ,福岡県,99,40700,40700.0
ヒハワ ナセニク,新潟県,34,21116,21100.0
テナ チネ,栃木県,49,71600,71600.0
ムヲヤ エセコ,山口県,31,20500,20500.0
スカケ ハウ,大阪府,76,51100,51100.0
カタ ノキ,宮城県,87,47100,47100.0
メンナト ソヌセキ,広島県,74,54200,54200.0
ヘキヘカ カカミワ,群馬県,50,100500,100500.0
サモナ ヨユヲヲ,静岡県,26,29523,29500.0
ヘハユ ニメマ,佐賀県,72,102152,102200.0
コヘヘア ホチツメ,東京都,17,38300,38300.0
ノキヌ チメ,山梨県,21,20100,20100.0
ヨノコメ モモ,滋賀県,83,65634,65600.0
ヤンノ モノ,群馬県,99,36200,36200.0
ソサ テツテ,愛媛県,73,23800,23800.0
シモ ナユ,富山県,64,107398,107400.0
キメハ ツト,石川県,16,20200,20200.0
メマク オノマ,神奈川県,94,23121,23100.0
クニミヘ モンケコ,香川県,86,59400,59400.0
フヘヘ ミクム,滋賀県,84,39000,39000.0
ケケ カコ,山梨県,83,54848,54800.0
ノソヲ タユ,愛媛県,68,25218,25200.0
ノチノヲ ヘタ,埼玉県,33,54209,54200.0
ホミス カオテ,長崎県,60,49638,49600.0
ヨタタヤ キヲエホ,北海道,91,48104,48100.0
エソケ ニハイ,青森県,64,42990,43000.0
ミヲ ヤニ,福島県,36,95576,95600.0
クク トマ,岩手県,97,60100,60100.0
ハムニヲ ミオア,佐賀県,95,47100,47100.0
ヤワキニ ネセア,山梨県,75,79900,79900.0
トネト テククワ,大分県,63,32800,32800.0
ケウ セヒノ,奈良県,98,23972,24000.0
ヌイエエ ウニヒコ,広島県,70,31400,31400.0
ニヨチ トツワ,和歌山県,57,61921,61900.0
シクイ モンユ,秋田県,61,42227,42200.0
イフセ ナヒミ,山口県,91,23200,23200.0
フチ ケシ,岩手県,74,22172,22200.0
エカノネ ヘヌ,京都府,88,25600,25600.0
ヒヲオヘ ツフキ,山口県,52,104700,104700.0
ヲチマメ カア,大阪府,63,35000,35000.0
ネホサ オヒヌ,福島県,74,48700,48700.0
チサ スヒト,静岡県,42,32600,32600.0
タメス サトヨワ,青森県,27,52185,52200.0
ムメムナ ンネイテ,福岡県,76,40372,40400.0
ミツヒユ ヒスヨニ,埼玉県,46,31200,31200.0
モト メムス,福島県,98,58384,58400.0
チツイナ ヲヒ,静岡県,57,22500,22500.0
ンヒヘツ モニツコ,大分県,19,37400,37400.0
ニヒマ カム,埼玉県,57,50536,50500.0
ノソトメ ウカタ,香川県,60,60700,60700.0
マヨ コシ,茨城県,85,51157,51200.0
マミフミ ツクヒ,東京都,50,44000,44000.0
セクホ ヌエン,沖縄県,49,51900,51900.0
チシ ホナフ,福島県,28,54300,54300.0
トナアン ンホクヤ,東京都,47,150200,150200.0
ヒニンマ クコオヘ,東京都,23,33874,33900.0
マセト ナト,三重県,20,26600,26600.0
ヌタ ネオト,千葉県,80,32500,32500.0
イエキサ テタカ,石川県,96,29013,29000.0
ヤヨミ ムハムシ,岩手県,40,37800,37800.0
テヘセ ヤヤ,埼玉県,67,66500,66500.0
キイス クハネ,高知県,72,21700,21700.0
マユ フヌ,岡山県,65,46500,46500.0
トソ ヘミ,愛媛県,64,65000,65000.0
キクノフ メユトコ,宮城県,44,70841,70800.0
キメオウ ヤモタヨ,長野県,25,30100,30100.0
ノムメ ンホノム,石川県,97,44500,44500.0
ヤヘ ウニム,兵庫県,87,22500,22500.0
ヲユ ンエミ,宮崎県,75,45356,45400.0
モワタタ シチ,高知県,82,25200,25200.0
セソスケ チネタキ,滋賀県,53,53600,53600.0
コンンナ モナ,三重県,81,37657,37700.0
エコワテ ノヌ,鳥取県,46,40635,40600.0
アヌフ モチ,大阪府,37,73700,73700.0
ミワモ ウタ,長崎県,30,55900,55900.0
ヲミチカ ウト,青森県,74,48262,48300.0
メソソノ ナヤヌヲ,群馬県,83,52961,53000.0
ホツ シアチト,山口県,37,26714,26700.0
ワケヨ サトカタ,静岡県,55,46693,46700.0
ソツミヒ セウ,沖縄県,37,73600,73600.0
ミンチ カセユマ,石川県,39,51642,51600.0
ナマハタ ホマス,福島県,72,31500,31500.0
ハニスヒ フカ,島根県,57,93500,93500.0
エヨオヤ カス,高知県,46,34600,34600.0
ウキウ ユユヘヒ,千葉県,41,30700,30700.0
ナナハケ キノチ,福井県,64,96300,96300.0
ツスアフ アヒアヌ,大阪府,63,42209,42200.0
ニキ アワテ,徳島県,24,20600,20600.0
イイノ オコ,愛知県,36,45064,45100.0
ケマオセ ヌク,大分県,73,48700,48700.0
ニタソ ンサキヤ,栃木県,62,46842,46800.0
ソモメク フシワケ,佐賀県,39,30900,30900.0
ヒヌツフ テホミ,山梨県,21,85500,85500.0
メウユテ クシ,愛知県,48,30921,30900.0
ウス メシム,岡山県,89,42000,42000.0
サナクイ テチケ,大阪府,54,36100,36100.0
ムンム ヌマ,兵庫県,86,72900,72900.0
コワ フア,北海道,59,55100,55100.0
キコソ フクエヨ,山形県,68,46462,46500.0
エクモセ ワウ,山形県,71,53480,53500.0
トユエ ミテ,千葉県,87,56700,56700.0
ニウ ユムサナ,福井県,95,30649,30600.0
ミソメケ エヌモウ,長崎県,48,20100,20100.0
ツセ ミエ,静岡県,40,29100,29100.0
ヨナク ネス,山形県,25,56500,56500.0
ノヲオ ホニ,群馬県,25,27800,27800.0
カテチチ ハニモ,栃木県,95,26860,26900.0
イタヌ イケサコ,石川県,90,90336,90300.0
イン ムコトユ,山口県,86,87682,87700.0
ヒマ フチ,兵庫県,16,53900,53900.0
ミナヌホ ヲチ,北海道,15,36638,36600.0
ニホタホ ネムヘノ,東京都,76,94100,94100.0
ムムミユ ヤアコメ,静岡県,83,36590,36600.0
ムア コマフ,石川県,37,22601,22600.0
サメトク アヤ,徳島県,72,39000,39000.0
キナス ホメ,東京都,44,44136,44100.0
ニヤフ ヲエ,静岡県,34,28432,28400.0
サテコ ヘサホ,山口県,81,25900,25900.0
ハシヘ サスネ,佐賀県,24,38000,38000.0
アトヨヘ ンキ,富山県,23,50647,50600.0
チニ タホワケ,滋賀県,23,35342,35300.0
ヤヤモ ヨアモ,大分県,45,43000,43000.0
トイエハ ヌメフ,山梨県,83,25900,25900.0
クスタ ケテシ,栃木県,69,38435,38400.0
コヒ チヒカヌ,山口県,78,57200,57200.0
キクフナ ワノテ,群馬県,65,73900,73900.0
サマカタ ンツヒホ,富山県,39,22259,22300.0
ネモト ヌアテク,青森県,31,28798,28800.0
ネヲケテ ヨミユユ,埼玉県,86,21347,21300.0
キカニ ノチキ,福島県,99,54500,54500.0
キツソテ コツタ,愛知県,92,64200,64200.0
キホエモ ワウテ,福岡県,73,20904,20900.0
ムホコセ イヘテ,鹿児島県,43,42200,42200.0
ヲヒ ワツ,大阪府,30,27000,27000.0
マヘマヘ オミタサ,新潟県,15,66290,66300.0
コケ ソソノチ,神奈川県,24,24900,24900.0
ヨホケ オツホハ,三重県,70,39900,39900.0
ホハ ヒナ,愛知県,73,38700,38700.0
オヌ ヤナコヤ,群馬県,92,27395,27400.0
ヨチ シスア,愛媛県,21,28100,28100.0
セテン ケテ,岩手県,50,38917,38900.0
ウンソ ニヨセシ,奈良県,91,30500,30500.0
クツクヒ マオ,高知県,95,79258,79300.0
ツテ トソク,福島県,28,76023,76000.0
ミヲワ ハトハニ,滋賀県,83,49900,49900.0
サケトテ セユ,福井県,31,23434,23400.0
エメ ミヌホ,鳥取県,42,32900,32900.0
シツノメ マフ,滋賀県,90,46050,46100.0
ヌニシイ ノクユヤ,山梨県,66,91300,91300.0
ナチアク ホヤム,長崎県,65,53900,53900.0
カエヲヌ ツチヌ,島根県,75,80158,80200.0
キノ メフ,神奈川県,22,48244,48200.0
ニホ イホユ,青森県,68,24500,24500.0
タヒ ケモ,高知県,15,64400,64400.0
ネツトユ ニチア,栃木県,43,41810,41800.0
ヲハ ヤツノ,岩手県,76,22868,22900.0
ケセノ ヤオ,山形県,97,32200,32200.0
ネワモナ ニス,兵庫県,40,50238,50200.0
イキ ソス,広島県,30,41100,41100.0
ワヤノ コミ,滋賀県,35,57900,57900.0
ヒヒ ウツカ,愛媛県,57,54200,54200.0
ヲス ワヒシ,宮崎県,82,30559,30600.0
ムメ キマツミ,京都府,24,80500,80500.0
ヤホチ テモキ,長崎県,70,33981,34000.0
ウカ ヘムヒ,滋賀県,57,45583,45600.0
スセ オヨ,滋賀県,71,29570,29600.0
キトハユ ヘクチ,神奈川県,34,62300,62300.0
ノワ ヲユシフ,山梨県,70,84800,84800.0
ユホノ ムユエノ,宮崎県,94,33163,33200.0
ワオ コト,岡山県,26,32654,32700.0
ノカヘ ヲノ,千葉県,63,31232,31200.0
モトノタ ミクツ,徳島県,81,40300,40300.0
アネキ ネウナコ,和歌山県,75,40716,40700.0
フメオ イムミヤ,山形県,49,36159,36200.0
ヲソネウ ヨヤ,神奈川県,65,57100,57100.0
カシ クミシキ,愛媛県,99,38100,38100.0
ヒタ ソノケ,長崎県,90,42378,42400.0
クンメ イヘ,北海道,48,26714,26700.0
ナヲヨ イン,石川県,90,47532,47500.0
ヨヤネ ミヘヤ,佐賀県,67,60000,60000.0
エス ウワノ,山口県,35,29971,30000.0
チヲ メスヲ,滋賀県,44,77799,77800.0
ヌツン ムワア,福井県,72,58000,58000.0
ノウ モヌ,鹿児島県,34,33900,33900.0
ンミ コキスム,広島県,62,21380,21400.0
サフネ マアヤ,福岡県,85,80800,80800.0
モン ソス,茨城県,47,56100,56100.0
トフ ノクフチ,大分県,92,23900,23900.0
ネネ トニハミ,奈良県,92,43100,43100.0
セメム ワキナエ,兵庫県,91,28600,28600.0
クモム オイケモ,三重県,18,26900,26900.0
ネノ セスウ,福井県,62,83677,83700.0
ヤテト ナクフ,岐阜県,24,42300,42300.0
ヒヌ ホトカク,京都府,63,27600,27600.0
カフト ネユスサ,宮崎県,85,68500,68500.0
モオソソ ツヨフ,福岡県,74,57400,57400.0
テシ キタサ,山形県,53,43500,43500.0
フミヒウ ナチ,宮城県,68,55300,55300.0
キチケ ニイ,岐阜県,61,37700,37700.0
サヲマア ニンエヨ,新潟県,86,32200,32200.0
ネワ ノヲ,滋賀県,18,32500,32500.0
ニミナ ヘシト,福井県,50,34200,34200.0
メフ ホカン,高知県,19,35966,36000.0
ワユコ マウミヨ,香川県,63,33600,33600.0
エワノ マツ,千葉県,36,33300,33300.0
ネムヨミ ヨヤユヌ,新潟県,19,47853,47900.0
カヌニ テセケン,長崎県,42,31000,31000.0
ハナ スケサタ,神奈川県,23,34129,34100.0
ユソイム ンツス,静岡県,87,42100,42100.0
モナキ ホキソ,滋賀県,31,37289,37300.0
ノタツキ ワミヨ,大分県,88,51800,51800.0
